orchard,local diversity,year,region,day,apisAb,wildAbF,wildRichF,solitaryAbF,solitaryRichF,socialAbF,socialRichF,temp,bloom.index,lat,long,eiqB11,eiqB11.np,eiqB11.fun,eiqB11.ins,eiqB11.ins.np,eiqB11F.pre,eiqB11F.blm,eiqB11F.pos,eiqB11I.pre,eiqB11I.blm,eiqB11I.pos,eiqB11I.pos.np,eiqB11T.blm,eiqB11T.pos,size,hive.acr,X2000nat
A,1,3,S,1,3.333333333,12.66666,8,8.666666667,4.666666667,4,3.333333333,23.13333333,46.66666667,42.606647,-76.499462,259.064,259.064,215.66,43.35,43.35,143.09,58.1,14.48,0,19.04,24.31,24.31,0.044,0,5.2,0,0.321252059
A,1,3,S,2,0.666666667,3.333333333,2,2.333333333,1,0.333333333,0.333333333,16,12.5,42.606647,-76.499462,259.064,259.064,215.66,43.35,43.35,143.09,58.1,14.48,0,19.04,24.31,24.31,0.044,0,5.2,0,0.321252059
A,1,4,S,1,5.5,1,1,1,1,0,0,18.88888889,7.5,42.606647,-76.499462,259.064,259.064,215.66,43.35,43.35,143.09,58.1,14.48,0,19.04,24.31,24.31,0.044,0,5.2,0,0.321252059
A,1,4,S,2,4.75,2.5,2.25,0.75,0.75,1.75,1.5,17.77777778,22.91666668,42.606647,-76.499462,259.064,259.064,215.66,43.35,43.35,143.09,58.1,14.48,0,19.04,24.31,24.31,0.044,0,5.2,0,0.321252059
B,1,3,LO,1,7.166666667,7.333333333,4.5,6.833333333,4,0.5,0.5,18.68333333,75.83333333,43.210033,-76.985768,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,10,0.17,0.489363226
B,1,3,LO,2,12.16666667,16.66666667,9.5,14.5,7.666666667,2.166666667,1.833333333,27.86666667,6.666666668,43.210033,-76.985768,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,10,0.17,0.489363226
B,1,4,LO,1,7,12,6,12,6,0,0,21,37.5,43.210033,-76.985768,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,10,0,0.489363226
B,1,4,LO,2,9,3,1.5,3,1.5,0,0,21.11111111,66.5,43.210033,-76.985768,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,10,0,0.489363226
C,0,4,LO,1,5,7,5.5,5.5,4.5,1.5,1,29.44444444,62.5,43.141205,-77.00617,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,50,0.16,0.554130544
C,0,4,LO,2,6.5,16,10,14,8,2,2,24.44444444,87.5,43.141205,-77.00617,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,50,0.16,0.554130544
D,0,3,LO,1,4.333333333,1.5,1.5,0.833333333,0.833333333,0.666666667,0.666666667,19.51666667,87.5,43.215188,-77.018801,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,125,0.18,0.485777746
D,0,3,LO,2,9.166666667,6,4.333333333,4.833333333,3.333333333,1,0.833333333,23,18.75,43.215188,-77.018801,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,125,0.18,0.485777746
D,0,4,LO,1,14.5,1.5,1.5,0.5,0.5,1,1,20,87.5,43.215188,-77.018801,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,125,0.18,0.485777746
D,0,4,LO,2,23,11,4.5,10,3.5,1,1,25.66666667,99.16666667,43.215188,-77.018801,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,125,0.18,0.485777746
E,1,3,S,1,1.166666667,10.33333333,5,10.16666667,4.833333333,0.166666667,0.166666667,24.13333333,55.41666667,42.444969,-76.461382,142.716,142.716,119.5,23.88,23.88,41.85,44.67,32.29,0,14.25,9.63,9.63,0.026,0,18,0.22,0.275657094
E,1,4,S,1,7.5,7,2,7,2,0,0,21.11111111,54.16666666,42.444969,-76.461382,142.716,142.716,119.5,23.88,23.88,41.85,44.67,32.29,0,14.25,9.63,9.63,0.026,0,18,0.22,0.275657094
E,1,4,S,2,7,14.5,5.5,14.5,5.5,0,0,22.22222222,54.16666668,42.444969,-76.461382,142.716,142.716,119.5,23.88,23.88,41.85,44.67,32.29,0,14.25,9.63,9.63,0.026,0,18,0.22,0.275657094
F,1,3,S,1,14.5,7.666666667,4.5,6,3.166666667,1.666666667,1.333333333,22.68333333,78.75,42.572777,-76.594966,142.78,112.85,72.65,71.1,41.17,9.38,37.44,24.39,0,36.36,34.75,4.82,0.46,0,30,0.2,0.342953309
F,1,4,S,1,3,2.5,2,2.5,2,0,0,14.44444444,43.75,42.572777,-76.594966,142.78,112.85,72.65,71.1,41.17,9.38,37.44,24.39,0,36.36,34.75,4.82,0.46,0,30,0.2,0.342953309
F,1,4,S,2,17.5,2,1,1.5,0.5,0.5,0.5,15.55555556,66.66666668,42.572777,-76.594966,142.78,112.85,72.65,71.1,41.17,9.38,37.44,24.39,0,36.36,34.75,4.82,0.46,0,30,0.2,0.342953309
F,1,4,S,3,15,7,4.5,5.5,3,1.5,1.5,19.44444444,62.5,42.572777,-76.594966,142.78,112.85,72.65,71.1,41.17,9.38,37.44,24.39,0,36.36,34.75,4.82,0.46,0,30,0.2,0.342953309
G,0,3,LO,1,6.333333333,10.83333333,5.166666667,9.833333333,4.333333333,0.833333333,0.666666667,20.73333333,81.66666667,43.249082,-77.045889,432.406,392.506,369.8,66.8,26.9,163.95,112.9,88.69,2.31,12.62,51.87,11.97,0.025,0.041,65,0.18,0.453223496
G,0,3,LO,2,4.666666667,23.83333333,5.5,22.16666667,4.166666667,1,1,19.26666667,4.583333333,43.249082,-77.045889,432.406,392.506,369.8,66.8,26.9,163.95,112.9,88.69,2.31,12.62,51.87,11.97,0.025,0.041,65,0.18,0.453223496
G,0,4,LO,1,2.5,2.5,2,2,1.5,0.5,0.5,23.88888889,87.5,43.249082,-77.045889,432.406,392.506,369.8,66.8,26.9,163.95,112.9,88.69,2.31,12.62,51.87,11.97,0.025,0.041,65,0.18,0.453223496
G,0,4,LO,2,4,3,2.5,2.5,2,0.5,0.5,20,55.83333334,43.249082,-77.045889,432.406,392.506,369.8,66.8,26.9,163.95,112.9,88.69,2.31,12.62,51.87,11.97,0.025,0.041,65,0.18,0.453223496
H.nooil,1,3,S,1,1.833333333,4.5,3.166666667,3.5,2.5,1,0.666666667,20.95,NA,42.656582,-76.471825,306.42,306.42,293.12,14.12,14.12,111.67,127.3,53.11,0,8.87,5.25,5.25,0.22,0,14,1.14,0.375976493
H.nooil,1,4,S,1,2.5,0,0,0,0,0,0,17.22222222,26.25,42.656582,-76.471825,306.42,306.42,293.12,14.12,14.12,111.67,127.3,53.11,0,8.87,5.25,5.25,0.22,0,14,1.14,0.375976493
H.nooil,1,4,S,2,5,4.5,3.5,2,1.5,2.5,2,16.11111111,37.5,42.656582,-76.471825,306.42,306.42,293.12,14.12,14.12,111.67,127.3,53.11,0,8.87,5.25,5.25,0.22,0,14,1.14,0.375976493
I,1,3,LO,1,3.166666667,1.5,1.5,1,1,0.5,0.5,24.45,22.91666666,42.853851,-77.021808,215.176,215.176,173.62,41.46,41.46,94.76,52.27,26.59,0.96,19.69,20.81,20.81,0.014,0.082,32,0.5,0.191509164
I,1,4,LO,1,1,0.5,0.5,0,0,0.5,0.5,14.44444444,87.5,42.853851,-77.021808,215.176,215.176,173.62,41.46,41.46,94.76,52.27,26.59,0.96,19.69,20.81,20.81,0.014,0.082,32,0.5,0.191509164
I,1,4,LO,2,2.5,2,2,1.5,1.5,0.5,0.5,29.16666667,70,42.853851,-77.021808,215.176,215.176,173.62,41.46,41.46,94.76,52.27,26.59,0.96,19.69,20.81,20.81,0.014,0.082,32,0.5,0.191509164
J,1,3,S,1,1.75,6.25,5,3.5,2.75,2.75,2.25,19.4,5,42.469951,-76.550223,153.73,153.73,150.14,3.6,3.6,107.72,0.56,41.85,0,1.8,1.8,1.8,0,0,14.5,0,0.473989682
J,1,4,S,1,4.5,3.5,3,3,2.5,0.5,0.5,17.22222222,7.5,42.469951,-76.550223,153.73,153.73,150.14,3.6,3.6,107.72,0.56,41.85,0,1.8,1.8,1.8,0,0,14.5,0,0.473989682
J,1,4,S,2,8,5,4.5,3,3,2,1.5,19.44444444,43.75,42.469951,-76.550223,153.73,153.73,150.14,3.6,3.6,107.72,0.56,41.85,0,1.8,1.8,1.8,0,0,14.5,0,0.473989682
K,0,3,LO,1,18,1.666666667,1,1.5,0.833333333,0.166666667,0.166666667,22,84.58333333,43.282155,-77.121445,307.41,307.41,280.69,26.62,26.62,196.87,63.57,20.25,0.33,4.94,21.36,21.36,0.006,0.084,100,0.3,0.218418791
K,0,3,LO,2,22,0.833333333,0.833333333,0.666666667,0.666666667,0.166666667,0.166666667,20.63333333,31.25,43.282155,-77.121445,307.41,307.41,280.69,26.62,26.62,196.87,63.57,20.25,0.33,4.94,21.36,21.36,0.006,0.084,100,0.3,0.218418791
K,0,4,LO,1,3,0,0,0,0,0,0,20,7.5,43.282155,-77.121445,307.41,307.41,280.69,26.62,26.62,196.87,63.57,20.25,0.33,4.94,21.36,21.36,0.006,0.084,100,0.3,0.218418791
K,0,4,LO,2,9.5,0,0,0,0,0,0,20,78.75,43.282155,-77.121445,307.41,307.41,280.69,26.62,26.62,196.87,63.57,20.25,0.33,4.94,21.36,21.36,0.006,0.084,100,0.3,0.218418791
L,0,3,LO,1,17.625,4.25,2.625,3.75,2.25,0.5,0.375,14.175,24.375,43.275127,-77.088463,303.2891,303.2891,276.7,26.35,26.35,193.35,63.48,19.87,0.056,4.94,21.36,21.36,0.0031,0.23,350,0.3,0.231160459
L,0,4,LO,1,5,0,0,0,0,0,0,18.33333333,49.58333333,43.275127,-77.088463,303.2891,303.2891,276.7,26.35,26.35,193.35,63.48,19.87,0.056,4.94,21.36,21.36,0.0031,0.23,350,0.3,0.231160459
L,0,4,LO,2,7,1.5,1,1.5,1,0,0,20.83333333,87.5,43.275127,-77.088463,303.2891,303.2891,276.7,26.35,26.35,193.35,63.48,19.87,0.056,4.94,21.36,21.36,0.0031,0.23,350,0.3,0.231160459
M,0,3,GV,1,6,4.166666667,3.666666667,3.166666667,2.833333333,1,0.833333333,24.16666667,20,42.83129,-76.984798,179.7544,179.7544,163.98,15.71,15.71,91.93,53.3,18.75,0,8.13,7.58,7.58,0.0034,0.061,65,0.5,0.212264489
M,0,4,GV,1,1,1.5,1.5,1,1,0.5,0.5,15.55555556,3.75,42.83129,-76.984798,179.7544,179.7544,163.98,15.71,15.71,91.93,53.3,18.75,0,8.13,7.58,7.58,0.0034,0.061,65,0.5,0.212264489
M,0,4,GV,2,4.5,4,3,3.5,2.5,0,0,26.72222222,70,42.83129,-76.984798,179.7544,179.7544,163.98,15.71,15.71,91.93,53.3,18.75,0,8.13,7.58,7.58,0.0034,0.061,65,0.5,0.212264489
N,1,4,S,1,1.5,3,2,2.5,1.5,0.5,0.5,15.55555556,5.2075,42.351524,-76.564604,124.03,116.63,108.65,15.38,7.98,18.03,70.09,20.53,0,13.1,2.28,0.367,0,0,35,0,0.661006019
N,1,4,S,2,9.5,7,5.5,1.5,1.5,5.5,4,24.44444444,61.25,42.351524,-76.564604,124.03,116.63,108.65,15.38,7.98,18.03,70.09,20.53,0,13.1,2.28,0.367,0,0,35,0,0.661006019
O.nooil,1,3,S,1,8,4.5,4.25,1.75,1.5,2.75,2.75,19.85,6.25,42.552672,-76.657362,68.25,68.25,46.54,21.71,21.71,21.18,17.79,7.57,6.74,5.49,9.48,9.48,0,0,5,0.4,0.338993981
O.nooil,1,4,S,1,6.5,2,2,2,2,0,0,17.77777778,37.5,42.552672,-76.657362,68.25,68.25,46.54,21.71,21.71,21.18,17.79,7.57,6.74,5.49,9.48,9.48,0,0,5,0.2,0.338993981
O.nooil,1,4,S,2,11,6,3.5,5.5,3,0.5,0.5,23.88888889,26.25,42.552672,-76.657362,68.25,68.25,46.54,21.71,21.71,21.18,17.79,7.57,6.74,5.49,9.48,9.48,0,0,5,0.2,0.338993981
P,0,3,LO,1,3.5,18,5.666666667,16.66666667,4.833333333,1.166666667,0.666666667,23.2,64.16666667,43.185902,-77.188852,224.65,224.65,200.2,18.45,18.45,102.61,68.15,29.44,0,7.54,10.91,10.91,3,3,22,0.8,0.489081406
P,0,4,LO,1,3,2.5,2.5,1.5,1.5,1,1,22.22222222,78.75,43.185902,-77.188852,224.65,224.65,200.2,18.45,18.45,102.61,68.15,29.44,0,7.54,10.91,10.91,3,3,22,0.8,0.489081406
P,0,4,LO,2,1,1.5,1.5,1.5,1.5,0,0,22.22222222,63.58333335,43.185902,-77.188852,224.65,224.65,200.2,18.45,18.45,102.61,68.15,29.44,0,7.54,10.91,10.91,3,3,22,0.8,0.489081406
Q,1,3,S,1,14.66666667,7.666666667,2.5,1.833333333,0.833333333,5.833333333,1.666666667,17.6,81.66666667,42.376591,-76.927016,193.436,173.486,154.64,38.78,18.83,106.47,33,15.17,0,28.7,10.08,10.08,0.016,0,15,0.8,0.467606844
Q,1,3,S,2,13.33333333,19.33333333,12,12.33333333,8,7,4,22.83333333,55.41666667,42.376591,-76.927016,193.436,173.486,154.64,38.78,18.83,106.47,33,15.17,0,28.7,10.08,10.08,0.016,0,15,0.8,0.467606844
Q,1,4,S,1,11.5,4.166666667,3.166666667,3.333333333,2.333333333,0.833333333,0.833333333,23.88888889,58.33333334,42.376591,-76.927016,193.436,173.486,154.64,38.78,18.83,106.47,33,15.17,0,28.7,10.08,10.08,0.016,0,15,0.8,0.467606844
Q,1,4,S,2,18.5,2.5,2.5,1.5,1.5,1,1,22.77777778,25,42.376591,-76.927016,193.436,173.486,154.64,38.78,18.83,106.47,33,15.17,0,28.7,10.08,10.08,0.016,0,15,0.8,0.467606844
R,0,3,GV,1,4.25,4.75,3.5,4,2.75,0.75,0.75,22,18.75,42.776499,-77.000925,209.63,209.63,180.53,28.71,28.71,109.58,54.16,16.79,0,11.38,17.33,17.33,0.17,0.22,160,0.5,0.230378115
R,0,3,GV,2,3.833333333,3,2.5,2.166666667,1.833333333,0.833333333,0.666666667,21.96666667,7.083333333,42.776499,-77.000925,209.63,209.63,180.53,28.71,28.71,109.58,54.16,16.79,0,11.38,17.33,17.33,0.17,0.22,160,0.5,0.230378115
R,0,4,GV,1,6.5,3,2.5,3,2.5,0,0,27.77777778,60.41666668,42.776499,-77.000925,209.63,209.63,180.53,28.71,28.71,109.58,54.16,16.79,0,11.38,17.33,17.33,0.17,0.22,160,0.5,0.230378115
R,0,4,GV,2,1.5,1,1,0.5,0.5,0.5,0.5,16.66666667,84.58333335,42.776499,-77.000925,209.63,209.63,180.53,28.71,28.71,109.58,54.16,16.79,0,11.38,17.33,17.33,0.17,0.22,160,0.5,0.230378115
S,1,4,LO,1,5,4.25,3.5,4,3.25,0.25,0.25,25.55555556,75.83333333,43.149056,-76.972796,299.93,299.93,284.33,15.53,15.53,113.28,102.91,68.14,0,3.61,11.92,11.92,0,0.07,20,0.18,0.559383954
S,1,4,LO,2,3.5,3,2.5,2.5,2,0.5,0.5,23.88888889,70,43.149056,-76.972796,299.93,299.93,284.33,15.53,15.53,113.28,102.91,68.14,0,3.61,11.92,11.92,0,0.07,20,0.18,0.559383954
